row,site,site.long,Acrdis,Ambrep,Anasub,Anipty,Antela,Apocon,Apopic,Arcter,Asaabr,Asachl,Asacla,Atoomm,Auspes,Auscal,Ausgob,Auspri,Bacnot,Battri,Bitdef,Bitser,Calela,Callin,Calsel,Calgau,Capint,Capsem,Catalo,Chlfil,Chrpor,Cleleu,Colalc,Colmay,Colstr,Crople,Deahyb,Decjun,Declep,Dellim,Diagra,Dicsph,Elahel,Elapla,Elager,Endsar,Epiasp,Epiemp,Epihem,Epixan,Epyluc,Epyros,Eudasp,Eudast,Eudaxe,Eudcat,Eudcha,Euddoc,Eudfer,Eudlep,Eudmel,Eudoct,Eudocu,Eudpal,Eudphi,Eudsab,Eudste,Eudsub,Eudtri,Euxadm,Gadace,Ginneb,Glaint,Glapyr,Glyacr,Glycio,Glyoxy,Glytri,Gymsar,Harobl,Harsco,Harsis,Hardis,Helcin,Helcor,Helcry,Helexp,Hetcan,Heteri,Hetcon,Hieele,Hofpse,Homana,Hyddel,Hydpur,Hydrix,Hygnit,Ichaco,Icharo,Ichave,Ichcun,Ichdis,Ichinf,Ichins,Ichlig,Ichlit,Ichmar,Ichmod,Ichmor,Ichmut,Ichnob,Ichnul,Icholi,Ichomo,Ichpar,Ichrub,Ichscu,Ichsis,Ichsul,Ichuni,Ichust,Ichvir,Ichago,Ichalo,Ichatr,Ichpro,Ichsem,Ichple,Ichste,Kiwhip,Kiwlit,Kiwmon,Kiwpar,Kiwsch,Leplin,Leuspa,Leuser,Metstr,Metcoe,Metdot,Metmey,Metoch,Mettar,Metvit,Micqua,Mnefla,Moneth,Orocal,Orocyc,Oroenc,Orofle,Orolec,Orolew,Orophi,Ororam,Orovit,Orovul,Oroxan,Ortchl,Pasaco,Paslun,Pascha,Pashei,Perave,Phaapo,Phtope,Phycae,Phycuc,Phyhom,Phylon,Phyphr,Phypri,Physeq,Placel,Plupsa,Pluxyl,Procar,Prosan,Protet,Pronip,Psecol,Psepro,Schcos,Scoani,Scoasa,Scocha,Scocya,Scoeju,Scoexi,Scomin,Scomon,Sconip,Scorot,Scosnr,Scoscr,Scotra,Scotur,Scorub,Steori,Tawpen,Tinchla,Tinchlo,Tinmac,Timomb,Tinsec,Tinopo,Tinsno,Tracon,Udeadv,Udenot,Wiscer,Wiscop,Wismim,Wisumb,Xanoro,Xansem,Zapste,Zerind
1,1961s,1961.sugar,0,2,3,2,1,0,0,0,3,0,30,0,3,0,0,0,0,0,1,0,1,0,0,0,0,31,0,0,0,1,1,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,2,0,0,7,2,0,5,87,0,0,87,10,5,0,20,0,16,93,41,198,1,2,1,1,0,0,2,0,1,0,0,0,0,0,0,4,69,0,0,3,0,0,0,0,0,4,0,1,7,0,0,4,12,94,0,1,61,64,0,56,5,302,0,2,0,0,0,15,16,170,0,14,2,1,44,2,245,456,14,1,0,0,0,0,3,1,0,0,1,0,0,1,1,0,3,0,0,11,4,0,207,9,95,1,4,0,93,1989,331,0,0,0,0,0,1,128,1,0,21,0,19,1,63,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,190,1,74,3,3,0,0,0,0,8,0,1,0,0,0,4,0,0,0,0,0,0,0,0,2,0,1,1,7,0,10
2,1961r,1961.ribbon,0,2,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,0,0,0,0,55,0,0,0,0,6,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,44,0,0,5,53,0,0,1,0,5,28,1,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,8,0,1,2,0,0,0,3,0,0,0,19,12,0,39,1,87,0,0,0,0,0,2,2,109,0,0,0,0,3,0,37,271,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,221,10,118,0,0,0,36,3815,108,0,0,0,0,0,0,38,0,0,4,0,1,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,23,0,7,0,0,1,0,1,0,1,18,0,2,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1
3,1962s,1962.sugar,0,3,4,0,1,1,1,0,4,0,30,0,1,0,0,1,0,0,0,1,6,14,0,0,0,21,0,0,0,6,51,1,0,0,0,11,0,0,7,1,1,0,0,0,0,0,1,0,0,14,1,0,160,66,0,0,64,13,2,0,39,0,11,255,138,2872,30,22,1,0,0,0,0,0,0,0,1,0,0,1,0,1,31,0,0,2,0,0,0,0,0,71,0,2,2,143,0,0,1,416,1,0,39,33,1,155,1,140,1,1,0,3,3,4,0,44,0,15,1,0,13,1,67,176,13,0,1,0,12,1,8,4,0,0,0,1,0,4,0,3,0,0,0,7,1,2,94,8,79,0,23,0,69,1047,144,23,0,0,0,0,0,95,0,0,43,196,6,3,13,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,81,92,16,2,0,0,0,1,0,12,1,0,0,0,1,4,0,0,2,1,1,1,0,0,8,386,1,0,2,0,32
4,1962r,1962.ribbon,1,2,0,5,0,0,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,288,0,0,0,9,141,5,0,0,0,1,0,0,0,2,0,0,1,1,1,0,0,0,0,3,2,0,12,86,0,0,43,71,0,0,6,0,24,180,12,1179,14,17,1,0,0,0,0,0,0,0,0,0,0,1,0,0,48,0,0,0,0,0,0,0,0,10,0,1,2,78,0,0,0,347,0,0,16,28,0,90,1,86,0,0,1,0,3,3,0,56,0,19,1,0,8,1,42,116,0,0,0,1,13,1,0,3,0,0,0,0,0,5,0,0,0,0,0,16,3,0,513,6,167,0,6,0,44,4887,193,7,1,0,0,1,0,131,0,0,4,92,0,0,4,0,0,0,3,0,1,0,1,0,0,0,0,0,1,0,0,62,21,9,3,4,1,1,1,1,24,9,0,3,0,0,5,0,0,0,0,0,0,1,0,92,2,3,0,0,0,12
5,1987s,1987.sugar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,3,3,11,36,0,25,10,0,4,2,3,6,81,82,32,3,2,0,0,1,0,0,0,0,0,0,20,1,3,0,0,3,0,1,0,0,0,1,0,0,0,0,1,4,56,0,1,0,407,0,0,0,5,0,21,0,7,0,2,0,5,4,1,0,20,0,30,0,0,84,0,15,205,1,0,0,0,6,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,32,7,10,0,18,187,86,0,0,2,1,0,0,9,2,0,3,27,0,0,10,1,0,0,0,0,0,0,3,0,0,1,0,1,1,1,0,8,6,1,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,21,2,1,0,0,0,0
6,1987r,1987.ribbon,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,18,9,0,0,1,0,0,65,1,9,0,0,1,0,0,0,0,0,0,1,0,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,161,0,0,2,3,0,23,0,9,1,0,0,1,0,0,0,60,0,8,0,1,11,0,18,464,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,27,3,13,0,36,132,50,0,0,0,1,0,0,3,3,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,47,0,0,0,0,0,0
7,1988s,1988.sugar,0,0,4,3,1,0,0,0,9,0,0,3,0,0,1,0,3,1,0,0,3,24,1,0,0,4,0,1,1,2,0,10,1,0,0,3,1,0,2,0,0,0,2,2,0,0,3,1,12,3,0,2,5,35,28,0,25,40,0,3,6,1,15,314,125,33,10,38,0,0,0,0,0,1,0,0,0,8,0,15,0,1,13,2,1,1,0,1,0,1,13,0,1,2,39,424,6,0,0,198,1,0,29,42,0,72,2,57,1,0,1,19,23,1,3,104,0,90,2,0,153,0,31,752,1,1,0,0,4,2,0,0,1,1,1,1,3,0,0,1,0,0,2,5,4,2,7,2,125,25,15,4,64,203,198,0,0,0,0,1,0,34,3,1,10,110,4,1,21,0,1,1,2,15,0,0,27,0,0,0,2,0,0,2,0,5,2,9,0,1,0,0,0,0,134,0,6,0,0,0,0,0,0,0,0,0,1,0,0,1,142,0,0,2,0,0
8,1988r,1988.ribbon,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,39,36,0,1,0,8,1,0,0,1,0,44,0,1,0,3,0,0,1,3,0,2,0,0,0,0,0,0,0,2,0,0,1,19,13,0,48,13,2,1,0,1,10,159,8,33,6,3,1,0,0,0,0,1,0,0,0,5,0,1,0,0,10,1,1,0,0,0,0,0,0,0,1,1,36,226,0,0,0,129,0,0,19,26,0,27,0,9,1,1,0,1,4,1,2,473,0,25,1,0,32,0,17,2263,0,0,0,0,2,0,0,0,1,63,0,0,0,0,0,1,1,1,0,1,1,0,4,1,49,2,22,0,89,316,145,0,0,0,0,0,0,18,3,1,1,14,10,0,10,0,0,0,1,3,0,0,5,0,0,0,0,0,3,0,1,1,7,0,0,1,0,3,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,11,17,0,0,0,1,1
10,2020s2,2020.sugar2,0,0,1,0,0,0,0,0,0,1,0,0,0,1,5,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,109,1,0,8,6,5,0,14,0,5,112,42,130,0,0,1,0,0,1,0,0,0,0,0,16,0,0,1,0,9,0,0,0,0,0,0,0,0,1,0,0,0,87,3,0,4,34,0,2,11,31,0,8,3,11,0,0,0,2,5,0,0,54,0,15,0,0,8,0,45,134,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,15,0,4,1,18,38,20,0,0,0,0,0,0,6,0,0,2,7,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,6,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,5,2,0,3,0,0,0,0
11,2020r2,2020.ribbon2,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,1,0,2,26,4,0,3,0,1,314,10,157,0,2,3,0,0,0,0,4,0,0,2,0,0,0,0,0,36,0,0,0,1,0,0,0,0,1,0,0,5,39,0,0,12,51,0,0,2,10,0,9,0,3,0,0,0,0,0,0,0,98,1,13,0,0,3,0,8,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22,0,39,0,97,106,58,1,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
