Year,Temp,Months
1964,2.779225143,May-Sep
1965,3.99845957,May-Sep
1966,3.298681699,May-Sep
1967,4.214851169,May-Sep
1968,3.230138488,May-Sep
1969,4.312487522,May-Sep
1970,4.241158611,May-Sep
1971,4.40546729,May-Sep
1972,4.64729025,May-Sep
1973,4.251408135,May-Sep
1974,3.856214293,May-Sep
1975,4.327787252,May-Sep
1976,3.109305138,May-Sep
1977,2.844527055,May-Sep
1978,3.432904709,May-Sep
1979,3.589229896,May-Sep
1980,3.983551972,May-Sep
1981,0.756670834,May-Sep
1982,4.419194714,May-Sep
1983,3.425618955,May-Sep
1984,4.625553628,May-Sep
1985,4.271178739,May-Sep
1986,2.949098529,May-Sep
1987,5.623358116,May-Sep
1988,6.030251068,May-Sep
1989,4.411009685,May-Sep
1990,4.944320751,May-Sep
1991,4.73745764,May-Sep
1992,3.492604051,May-Sep
1993,5.580227901,May-Sep
1994,3.992737623,May-Sep
1995,4.15090987,May-Sep
1996,4.737618152,May-Sep
1997,5.359558868,May-Sep
1998,5.796896634,May-Sep
1999,5.30308334,May-Sep
2000,5.367179805,May-Sep
2001,5.497843414,May-Sep
2002,4.789831872,May-Sep
2003,4.721019078,May-Sep
2004,4.361496281,May-Sep
2005,5.828565576,May-Sep
2006,4.4859028,May-Sep
2007,5.064581634,May-Sep
2008,4.452137376,May-Sep
2009,3.93157914,May-Sep
2010,4.546267527,May-Sep
2011,5.094897054,May-Sep
2012,4.230804946,May-Sep
2013,5.308585376,May-Sep
2014,5.016355484,May-Sep
2015,4.601928602,May-Sep
2016,5.499531183,May-Sep
2017,5.249447763,May-Sep
2018,5.196340645,May-Sep
2019,5.672874839,May-Sep
2020,5.549186882,May-Sep
2021,6.064924731,May-Sep
1964,11.25185388,Oct-Apr
1965,11.83817191,Oct-Apr
1966,11.63144155,Oct-Apr
1967,11.71937359,Oct-Apr
1968,11.16064882,Oct-Apr
1969,12.65430215,Oct-Apr
1970,12.90271596,Oct-Apr
1971,11.86790784,Oct-Apr
1972,12.29629301,Oct-Apr
1973,12.20395596,Oct-Apr
1974,12.45731174,Oct-Apr
1975,11.36053161,Oct-Apr
1976,11.21884739,Oct-Apr
1977,12.6265793,Oct-Apr
1978,11.85106036,Oct-Apr
1979,11.45316985,Oct-Apr
1980,12.35477983,Oct-Apr
1981,11.34047623,Oct-Apr
1982,11.06925844,Oct-Apr
1983,11.376917,Oct-Apr
1984,12.44382299,Oct-Apr
1985,11.09840376,Oct-Apr
1986,11.65043224,Oct-Apr
1987,12.13430254,Oct-Apr
1988,13.11869223,Oct-Apr
1989,13.19825428,Oct-Apr
1990,12.08020348,Oct-Apr
1991,11.29235757,Oct-Apr
1992,11.18399015,Oct-Apr
1993,12.00414343,Oct-Apr
1994,12.39547701,Oct-Apr
1995,11.74218134,Oct-Apr
1996,11.33522137,Oct-Apr
1997,12.99574243,Oct-Apr
1998,12.99160826,Oct-Apr
1999,12.18892313,Oct-Apr
2000,12.43446814,Oct-Apr
2001,12.1150239,Oct-Apr
2002,11.51220911,Oct-Apr
2003,11.36151213,Oct-Apr
2004,11.91991139,Oct-Apr
2005,11.87380272,Oct-Apr
2006,11.52318538,Oct-Apr
2007,12.36073981,Oct-Apr
2008,12.0203942,Oct-Apr
2009,11.94052142,Oct-Apr
2010,12.62924268,Oct-Apr
2011,11.59101255,Oct-Apr
2012,12.4279069,Oct-Apr
2013,12.13094668,Oct-Apr
2014,12.43064641,Oct-Apr
2015,12.89018125,Oct-Apr
2016,11.90653353,Oct-Apr
2017,13.34423968,Oct-Apr
2018,12.68175673,Oct-Apr
2019,12.46384627,Oct-Apr
2020,12.5068826,Oct-Apr
2021,13.67925115,Oct-Apr
