,NMDS1,NMDS2,site,season,season.num,site2,decade
1,-0.118560157,-0.299035279,1961s,1961,1,Sugarloaf,1
2,-0.496457806,-0.158700482,1961r,1961,1,Ribbonwood,1
3,-0.129072727,-0.261195842,1962s,1962,2,Sugarloaf,1
4,-0.206558307,-0.218976243,1962r,1962,2,Ribbonwood,1
5,0.538298392,0.0365509,1987s,1987,3,Sugarloaf,2
6,0.396944555,0.312771499,1987r,1987,3,Ribbonwood,2
7,0.268375733,-0.284014061,1988s,1988,4,Sugarloaf,2
8,0.212349271,-0.138885295,1988r,1988,4,Ribbonwood,2
9,-0.119267989,0.523519663,2020s2,2020,5,Sugarloaf,3
10,-0.346050965,0.487965142,2020r2,2020,5,Ribbonwood,3
